# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2012-2020 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Sun Mar 29 15:41:10 EDT 2020
#
# Fields:
# reference,studyfactors,exposurestressors,receptors,studycountries,mediums,exposuremarkers,diseases,phenotypes,authorsummary
#
10797505,,"Carbamates^D002219^MESH|Fungicides, Industrial^D005659^MESH|Hydrocarbons, Chlorinated^D006843^MESH|Organophosphates^D010755^MESH",^^^^Workers,United States,,,Agricultural Workers' Diseases^D000382^MESH|Retinal Degeneration^D012162^MESH,,These results suggest that exposure to some fungicides and insecticides may increase risk of retinal degeneration.
10810126,tobacco,Formaldehyde^D005557^MESH,"Carcinoma, Squamous Cell^disease^D002294^MESH^Subjects with disease:|Nasopharyngeal Carcinoma^disease^D000077274^MESH^Controls for disease:|Nasopharyngeal Carcinoma^disease^D000077274^MESH^Subjects with disease:|^^^^Study subjects",United States,,Formaldehyde^D005557^MESH,"Carcinoma, Squamous Cell^D002294^MESH",,"These results support the hypothesis that occupational exposure to formaldehyde, but not wood dust, increases risk of nasopharyngeal cancer."
10836528,age|sex,Elements^D004602^MESH,^^^^Children|^^^^Study subjects,Bulgaria|Canada|Italy|Japan|New Zealand|United Kingdom|United States,hair,Aluminum^D000535^MESH|Arsenic^D001151^MESH|Cadmium^D002104^MESH|Calcium^D002118^MESH|Chromium^D002857^MESH|Cobalt^D003035^MESH|Copper^D003300^MESH|Iron^D007501^MESH|Lead^D007854^MESH|Magnesium^D008274^MESH|Manganese^D008345^MESH|Molybdenum^D008982^MESH|Nickel^D009532^MESH|Phosphorus^D010758^MESH|Selenium^D012643^MESH|Strontium^D013324^MESH|Titanium^D014025^MESH|Vanadium^D014639^MESH|Zinc^D015032^MESH,,,Hair samples of school children from several urban areas of Rome (Italy) were analyzed to determine the content of 19 minor and trace elements with the aim of assessing reference values (and these values are compared with data from other countries); significant differences were found for certain elements depending on age and sex.
10882291,,"2,4-dichlorophenol^C004762^MESH",^^^^Workers,France|United Kingdom|United States,bile|blood|serum|stomach|urine,"2,4-dichlorophenol^C004762^MESH","Acute Disease^D000208^MESH|Burns, Chemical^D002057^MESH|Death^D003643^MESH|Poisoning^D011041^MESH|Seizures^D012640^MESH",,"This report describes the five deaths associated with 2,4-DCP exposure (presented in the order in which they were identified) and provides recommendations for preventing additional deaths."
10964793,,Arsenic^D001151^MESH|Cadmium^D002104^MESH|Lead^D007854^MESH,^^^^Study subjects,United States,"water, drinking",Arsenic^D001151^MESH|Cadmium^D002104^MESH|Lead^D007854^MESH,,,"This work supports the hypothesis that observable within-person variability exists for arsenic (As) and lead (Pb) concentrations in drinking water, drinking water consumption, and As and Pb exposure."
11049814,genetics,Lead^D007854^MESH,ALAD^gene^210^GENE^Subjects with gene influence:|^^^^Study subjects|VDR^gene^7421^GENE^Subjects with gene influence:|^^^^Workers,"Korea, Republic of",blood|tibia|urine,Lead^D007854^MESH,,,The current data confirm past observations that the ALAD gene modifies the toxicokinetics of lead and also provides new evidence that the VDR gene does so as well.
11266329,,"2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|beta-hexachlorocyclohexane^C023888^MESH|Hexachlorobenzene^D006581^MESH|Hexachlorocyclohexane^D001556^MESH|Polychlorinated Biphenyls^D011078^MESH",^^^^Workers,Germany,blood|plasma,"2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|2,4,5,2',5'-pentachlorobiphenyl^C009828^MESH|beta-hexachlorocyclohexane^C023888^MESH|Hexachlorobenzene^D006581^MESH|Hexachlorocyclohexane^D001556^MESH|IFNG^3458^GENE|IL4^3565^GENE|PCB 180^C410127^MESH",,interferon-gamma production^GO:0032609^GO|interleukin-4 production^GO:0032633^GO|T-helper 1 cell cytokine production^GO:0035744^GO,Exposure to industrial chemicals is associated with only weak immunologic abnormalities; these results contrast with those obtained in earlier studies which showed a strong dose-dependent relationship with immunologic impairments; our data suggest that long-term exposure of patients to hexachlorobenzene suppresses interferon-gamma production.
11289128,genetics,Dipyrone^D004177^MESH|Propoxur^D001074^MESH,^^^^Infants or newborns|KMT2A^gene^4297^GENE^Subjects with gene influence:,Brazil|Chile|China|Egypt|Greece|Hong Kong|Italy|Japan,,,"Leukemia, Myeloid^D007951^MESH",,"This study has found evidence that in utero exposure to chemicals is associated with risk of infant acute leukemia, in general, and MLL+ve disease in particular."
11341550,,Asbestos^D001194^MESH,^^^^Workers,Japan,urine,8-Hydroxy-2'-Deoxyguanosine^D000080242^MESH,,cellular response to oxidative stress^GO:0034599^GO,"We show that 8-oxodG levels in asbestos-exposed construction workers were higher (although not statistically significant), and that levels tended to correlate with duration of suspected exposure; these results suggest that even low-level asbestos exposure may induce oxidative stress."
11399444,,"Agent Orange^D000075182^MESH|Defoliants, Chemical^D003678^MESH",^^^^Veterans,United States,serum,Tetrachlorodibenzodioxin^D013749^MESH,Liver Diseases^D008107^MESH,,We found an increased risk of 'other liver disorders' among veterans with the highest dioxin levels; whether the associations observed were causal is unclear from these data.
